City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Nelson Bay,AU,2022-09-21 17:15:41,-32.7167,152.15,62.1,95,100,11.01
101,Puerto Cabezas,NI,2022-09-21 17:15:41,14.0351,-83.3888,87.76,66,75,6.91
102,Bengkulu,ID,2022-09-21 17:15:41,-3.8004,102.2655,75.13,90,88,3.85
103,Celestun,MX,2022-09-21 17:15:42,20.8667,-90.4,85.19,62,1,6.98
104,Elizabeth City,US,2022-09-21 17:13:37,36.2946,-76.2511,88.05,51,0,4.61
105,Dunedin,NZ,2022-09-21 17:15:43,-45.8742,170.5036,44.8,87,25,3.83
106,Saint-Jean-Port-Joli,CA,2022-09-21 17:15:43,47.2171,-70.2658,57.88,84,39,4.23
107,San Cristobal,VE,2022-09-21 17:15:44,7.7669,-72.225,80.78,56,97,1.95
108,Borogontsy,RU,2022-09-21 17:15:44,62.6683,131.1683,27.81,86,27,9.01
109,Mar Del Plata,AR,2022-09-21 17:13:22,-38.0023,-57.5575,62.62,66,0,11.99
110,Zhezkazgan,KZ,2022-09-21 17:15:45,47.8043,67.7144,66.34,14,0,8.79
111,Thompson,CA,2022-09-21 17:15:45,55.7435,-97.8558,44.76,65,75,9.22
112,North Platte,US,2022-09-21 17:14:58,41.1239,-100.7654,59.11,51,100,18.01
113,Ribeira Grande,PT,2022-09-21 17:15:46,38.5167,-28.7,77.4,78,40,8.05
114,Necochea,AR,2022-09-21 17:11:40,-38.5473,-58.7368,60.13,41,87,4.97
115,Saint-Philippe,RE,2022-09-21 17:15:46,-21.3585,55.7679,71.19,77,26,12.08
116,Faanui,PF,2022-09-21 17:12:20,-16.4833,-151.75,78.53,72,5,19.89
117,Torbay,CA,2022-09-21 17:15:47,47.6666,-52.7314,59.76,73,75,13.8
118,Oranjemund,NA,2022-09-21 17:15:48,-28.55,16.4333,61.23,58,64,6.96
119,Awjilah,LY,2022-09-21 17:15:49,29.1081,21.2869,97.36,11,2,9.08
120,Albolote,ES,2022-09-21 17:15:18,37.2309,-3.6551,77.79,50,40,4.61
121,Aku,NG,2022-09-21 17:15:50,6.7081,7.3167,76.19,88,95,1.1
122,Macas,EC,2022-09-21 17:15:50,-2.3167,-78.1167,83.95,51,20,4.61
123,Bongor,TD,2022-09-21 17:15:51,10.2806,15.3722,80.74,76,24,1.95
124,Dikson,RU,2022-09-21 17:15:51,73.5069,80.5464,32.09,84,100,28.99
125,Samarai,PG,2022-09-21 17:15:52,-10.6167,150.6667,79.02,84,100,17.18
126,Codrington,AU,2022-09-21 17:13:25,-38.2667,141.9667,53.19,94,98,4.7
127,Angoche,MZ,2022-09-21 17:15:53,-16.2325,39.9086,76.08,76,2,16.73
128,Mehamn,NO,2022-09-21 17:15:53,71.0357,27.8492,46.35,87,75,25.32
129,Port Shepstone,ZA,2022-09-21 17:15:53,-30.7414,30.455,61.5,76,30,4.41
130,Yuty,PY,2022-09-21 17:15:54,-26.6,-56.25,73.33,64,85,4.41
